"X:","Y:","Z:","Roll:","Pitch:","Yaw:","Graph 0"
-0.440000,-0.300000,0.340000,-178.880000,-21.220000,-164.310000,7.000000
-0.750000,-0.510000,0.840000,-175.430000,-16.650000,-168.910000,0.000000
-1.580000,-0.360000,1.420000,-177.550000,-13.680000,-173.450000,-175.110000
-1.720000,0.240000,1.600000,179.860000,-13.020000,-175.590000,9.000000
-1.760000,-2.140000,1.580000,-179.290000,-15.280000,-175.860000,28.000000
-1.820000,-1.710000,1.620000,-177.290000,-19.340000,-174.280000,99.000000
-1.340000,-0.600000,1.410000,-176.700000,-23.530000,-172.850000,79.000000
-1.160000,-0.130000,1.240000,-179.830000,-32.760000,-172.540000,91.000000
-1.150000,0.350000,0.790000,177.280000,-36.600000,-174.470000,-162.850000
-1.720000,0.980000,-0.570000,-175.600000,-40.150000,-178.760000,0.270000
-3.330000,0.070000,-1.260000,-169.470000,-41.070000,175.320000,-2.100000
-2.700000,-2.040000,-0.930000,-166.090000,-39.370000,171.000000,0.570000
-1.180000,-1.320000,-1.410000,-166.380000,-36.540000,169.930000,0.230000
-1.150000,0.730000,-2.120000,-168.400000,-33.220000,170.980000,168.990000
-1.310000,-0.900000,-1.400000,-171.760000,-29.960000,171.430000,85.000000
-1.410000,-0.950000,-0.430000,-176.460000,-26.710000,171.330000,19.000000
-1.720000,-0.570000,0.430000,177.950000,-23.850000,171.370000,-2.370000
-1.970000,-0.060000,1.020000,174.230000,-21.740000,172.090000,38.000000
-1.810000,-0.040000,1.780000,174.830000,-21.030000,173.140000,0.980000
-1.910000,0.070000,1.400000,177.230000,-22.000000,173.570000,-0.840000
-1.940000,0.480000,1.090000,-179.350000,-24.250000,172.490000,0.590000
-1.700000,0.230000,0.370000,-174.740000,-27.190000,170.170000,52.050000
-1.480000,0.150000,-0.690000,-169.630000,-30.030000,167.410000,56.000000
-1.290000,-0.090000,-2.000000,-166.520000,-31.480000,164.940000,77.000000
-0.800000,-0.330000,-2.950000,-166.180000,-31.100000,163.750000,0.460000
-0.470000,-0.580000,-3.330000,-167.350000,-29.120000,163.880000,56.000000
-0.340000,-0.760000,-3.310000,-169.830000,-25.860000,164.770000,5.000000
-0.160000,-0.960000,-3.260000,-173.640000,-22.000000,166.360000,43.000000
-0.070000,-1.150000,-2.230000,-178.520000,-17.980000,168.810000,0.660000
-0.380000,-0.560000,-0.640000,176.480000,-14.010000,171.880000,0.710000
-1.290000,0.250000,0.930000,173.690000,-11.260000,174.780000,0.870000
-1.840000,0.870000,1.550000,173.020000,-10.240000,176.540000,0.930000
-1.900000,1.020000,1.430000,173.470000,-10.430000,176.820000,4.000000
-1.920000,0.420000,1.410000,174.870000,-11.140000,176.080000,7.000000
-1.960000,0.160000,1.300000,176.830000,-11.910000,175.110000,-0.060000
-2.030000,-0.320000,0.390000,179.250000,-13.030000,174.180000,73.000000
-1.340000,-0.700000,-0.660000,-178.230000,-14.430000,173.390000,0.400000
-0.670000,-0.770000,-1.710000,-176.110000,-16.300000,172.640000,28.000000
-0.380000,-0.730000,-2.410000,-174.790000,-17.860000,172.250000,-0.210000
-0.230000,-0.650000,-2.990000,-174.320000,-18.280000,172.420000,4.000000
-0.180000,-0.610000,-3.070000,-174.890000,-17.240000,173.140000,-0.740000
-0.080000,-0.580000,-2.850000,-177.100000,-14.780000,174.540000,0.770000
-0.270000,-0.520000,-1.520000,179.680000,-11.370000,176.650000,36.000000
